Player,Season,PD,Comb,Solo,Ast
Stephon Gilmore,2012,16.00,61.00,52.00,9.00
Stephon Gilmore,2013,10.00,35.00,30.00,5.00
Stephon Gilmore,2014,6.00,46.00,38.00,8.00
Stephon Gilmore,2015,18.00,36.00,36.00,0.00
Stephon Gilmore,2016,12.00,48.00,42.00,6.00
Stephon Gilmore,2017,9.00,50.00,47.00,3.00
Stephon Gilmore,2018,20.00,45.00,40.00,5.00
Stephon Gilmore,2019,20.00,53.00,44.00,9.00
Stephon Gilmore,2020,3.00,37.00,30.00,7.00
Stephon Gilmore,2021,2.00,16.00,15.00,1.00
Stephon Gilmore,2022,11.00,66.00,53.00,13.00
Stephon Gilmore,2023,13.00,68.00,54.00,14.00
Stephon Gilmore,2024,9.00,56.00,40.00,16.00
