Player,Season,PD,Comb,Solo,Ast
Cameron Jordan,2011,4.00,31.00,18.00,13.00
Cameron Jordan,2012,3.00,67.00,41.00,26.00
Cameron Jordan,2013,4.00,47.00,29.00,18.00
Cameron Jordan,2014,5.00,51.00,32.00,19.00
Cameron Jordan,2015,5.00,45.00,32.00,13.00
Cameron Jordan,2016,6.00,58.00,40.00,18.00
Cameron Jordan,2017,11.00,62.00,48.00,14.00
Cameron Jordan,2018,6.00,49.00,35.00,14.00
Cameron Jordan,2019,3.00,53.00,37.00,16.00
Cameron Jordan,2020,3.00,51.00,34.00,17.00
Cameron Jordan,2021,6.00,59.00,38.00,21.00
Cameron Jordan,2022,2.00,66.00,40.00,26.00
Cameron Jordan,2023,3.00,43.00,20.00,23.00
Cameron Jordan,2024,4.00,34.00,18.00,16.00
