Player,Season,PD,Comb,Solo,Ast
Linval Joseph,2010,0.00,8.00,6.00,2.00
Linval Joseph,2011,4.00,49.00,34.00,15.00
Linval Joseph,2012,0.00,59.00,33.00,26.00
Linval Joseph,2013,0.00,59.00,34.00,25.00
Linval Joseph,2014,1.00,47.00,28.00,19.00
Linval Joseph,2015,1.00,56.00,42.00,14.00
Linval Joseph,2016,0.00,77.00,37.00,40.00
Linval Joseph,2017,0.00,68.00,40.00,28.00
Linval Joseph,2018,0.00,58.00,36.00,22.00
Linval Joseph,2019,0.00,44.00,26.00,18.00
Linval Joseph,2020,0.00,62.00,33.00,29.00
Linval Joseph,2021,0.00,57.00,30.00,27.00
Linval Joseph,2022,0.00,20.00,8.00,12.00
Linval Joseph,2023,0.00,12.00,7.00,5.00
Linval Joseph,2024,0.00,19.00,9.00,10.00
