Player,Season,PD,Comb,Solo,Ast
Harrison Smith,2012,10.00,104.00,74.00,30.00
Harrison Smith,2013,3.00,58.00,47.00,11.00
Harrison Smith,2014,9.00,92.00,71.00,21.00
Harrison Smith,2015,3.00,66.00,49.00,17.00
Harrison Smith,2016,2.00,91.00,69.00,22.00
Harrison Smith,2017,12.00,78.00,61.00,17.00
Harrison Smith,2018,6.00,84.00,67.00,17.00
Harrison Smith,2019,11.00,85.00,65.00,20.00
Harrison Smith,2020,10.00,89.00,54.00,35.00
Harrison Smith,2021,7.00,114.00,83.00,31.00
Harrison Smith,2022,10.00,85.00,66.00,19.00
Harrison Smith,2023,3.00,93.00,60.00,33.00
Harrison Smith,2024,10.00,87.00,56.00,31.00
