Player,Season,Y/R,Y/Tgt,Succ%
Marcedes Lewis,2006,9.70,6.00,47.60
Marcedes Lewis,2007,10.60,6.90,50.90
Marcedes Lewis,2008,11.90,6.60,41.90
Marcedes Lewis,2009,16.20,8.80,42.40
Marcedes Lewis,2010,12.10,7.90,52.80
Marcedes Lewis,2011,11.80,5.40,35.30
Marcedes Lewis,2012,10.40,7.00,48.10
Marcedes Lewis,2013,14.40,7.60,51.10
Marcedes Lewis,2014,11.40,6.60,48.40
Marcedes Lewis,2015,14.10,6.10,40.50
Marcedes Lewis,2016,8.50,5.60,46.70
Marcedes Lewis,2017,13.30,6.60,47.90
Marcedes Lewis,2018,13.00,9.80,75.00
Marcedes Lewis,2019,10.40,8.20,57.90
Marcedes Lewis,2020,10.70,6.30,58.80
Marcedes Lewis,2021,9.30,7.60,57.10
Marcedes Lewis,2022,11.00,9.40,71.40
Marcedes Lewis,2023,7.30,5.80,80.00
Marcedes Lewis,2024,2.00,1.00,50.00
