Player,Season,PD,Comb,Solo,Ast
Bobby Wagner,2012,4.00,140.00,87.00,53.00
Bobby Wagner,2013,7.00,120.00,72.00,48.00
Bobby Wagner,2014,3.00,104.00,67.00,37.00
Bobby Wagner,2015,7.00,114.00,67.00,47.00
Bobby Wagner,2016,3.00,167.00,85.00,82.00
Bobby Wagner,2017,6.00,133.00,97.00,36.00
Bobby Wagner,2018,11.00,138.00,84.00,54.00
Bobby Wagner,2019,6.00,159.00,86.00,73.00
Bobby Wagner,2020,8.00,138.00,81.00,57.00
Bobby Wagner,2021,5.00,170.00,93.00,77.00
Bobby Wagner,2022,5.00,140.00,81.00,59.00
Bobby Wagner,2023,3.00,183.00,96.00,87.00
Bobby Wagner,2024,4.00,132.00,75.00,57.00
