Player,Season,PD,Comb,Solo,Ast
John Jenkins,2013,0.00,21.00,13.00,8.00
John Jenkins,2014,1.00,30.00,20.00,10.00
John Jenkins,2015,1.00,49.00,23.00,26.00
John Jenkins,2016,0.00,8.67,4.00,4.67
John Jenkins,2017,0.00,8.00,5.00,3.00
John Jenkins,2018,0.00,0.00,0.00,0.00
John Jenkins,2019,1.00,34.00,20.00,14.00
John Jenkins,2020,1.00,21.00,7.00,14.00
John Jenkins,2021,0.00,16.00,10.00,6.00
John Jenkins,2022,0.00,20.00,8.00,12.00
John Jenkins,2023,4.00,61.00,24.00,37.00
John Jenkins,2024,2.00,46.00,13.00,33.00
