Player,Season,PD,Comb,Solo,Ast
Demario Davis,2012,0.00,36.00,31.00,5.00
Demario Davis,2013,1.00,106.00,63.00,43.00
Demario Davis,2014,5.00,116.00,79.00,37.00
Demario Davis,2015,2.00,90.00,57.00,33.00
Demario Davis,2016,2.00,99.00,59.00,40.00
Demario Davis,2017,3.00,135.00,97.00,38.00
Demario Davis,2018,4.00,110.00,74.00,36.00
Demario Davis,2019,12.00,111.00,87.00,24.00
Demario Davis,2020,5.00,119.00,73.00,46.00
Demario Davis,2021,7.00,105.00,70.00,35.00
Demario Davis,2022,6.00,109.00,54.00,55.00
Demario Davis,2023,4.00,121.00,74.00,47.00
Demario Davis,2024,7.00,136.00,69.00,67.00
