Player,Season,PD,Comb,Solo,Ast
Rodney McLeod,2012,0.00,13.00,10.00,3.00
Rodney McLeod,2013,7.00,79.00,63.00,16.00
Rodney McLeod,2014,6.00,72.00,62.00,10.00
Rodney McLeod,2015,5.00,82.00,59.00,23.00
Rodney McLeod,2016,7.00,83.00,72.00,11.00
Rodney McLeod,2017,6.00,54.00,39.00,15.00
Rodney McLeod,2018,4.00,10.00,7.00,3.00
Rodney McLeod,2019,6.00,76.00,46.00,30.00
Rodney McLeod,2020,7.00,66.00,43.00,23.00
Rodney McLeod,2021,4.00,58.00,32.00,26.00
Rodney McLeod,2022,8.00,96.00,59.00,37.00
Rodney McLeod,2023,1.00,29.00,16.00,13.00
Rodney McLeod,2024,5.00,39.00,28.00,11.00
