Player,Season,PD,Comb,Solo,Ast
Tyrann Mathieu,2013,9.00,68.00,65.00,3.00
Tyrann Mathieu,2014,4.00,38.00,35.00,3.00
Tyrann Mathieu,2015,17.00,89.00,80.00,9.00
Tyrann Mathieu,2016,4.00,35.00,33.00,2.00
Tyrann Mathieu,2017,7.00,78.00,70.00,8.00
Tyrann Mathieu,2018,8.00,89.00,70.00,19.00
Tyrann Mathieu,2019,12.00,75.00,63.00,12.00
Tyrann Mathieu,2020,9.00,62.00,48.00,14.00
Tyrann Mathieu,2021,6.00,76.00,60.00,16.00
Tyrann Mathieu,2022,8.00,91.00,64.00,27.00
Tyrann Mathieu,2023,9.00,75.00,50.00,25.00
Tyrann Mathieu,2024,7.00,62.00,47.00,15.00
