Player,Season,PD,Comb,Solo,Ast
William Gholston,2013,3.00,30.00,14.00,16.00
William Gholston,2014,3.00,42.00,28.00,14.00
William Gholston,2015,2.00,67.00,47.00,20.00
William Gholston,2016,0.00,49.00,37.00,12.00
William Gholston,2017,0.00,36.00,21.00,15.00
William Gholston,2018,0.00,10.00,7.00,3.00
William Gholston,2019,2.00,38.00,26.00,12.00
William Gholston,2020,2.00,44.00,24.00,20.00
William Gholston,2021,0.00,36.00,21.00,15.00
William Gholston,2022,0.00,49.00,24.00,25.00
William Gholston,2023,2.00,19.00,10.00,9.00
William Gholston,2024,0.00,12.00,6.00,6.00
