Player,Season,PD,Comb,Solo,Ast
Lavonte David,2012,4.00,139.00,112.00,27.00
Lavonte David,2013,10.00,145.00,107.00,38.00
Lavonte David,2014,4.00,146.00,101.00,45.00
Lavonte David,2015,13.00,147.00,85.00,62.00
Lavonte David,2016,4.00,87.00,67.00,20.00
Lavonte David,2017,1.00,101.00,76.00,25.00
Lavonte David,2018,2.00,120.00,94.00,26.00
Lavonte David,2019,7.00,123.00,82.00,41.00
Lavonte David,2020,6.00,117.00,82.00,35.00
Lavonte David,2021,3.00,97.00,63.00,34.00
Lavonte David,2022,5.00,124.00,80.00,44.00
Lavonte David,2023,5.00,134.00,86.00,48.00
Lavonte David,2024,6.00,122.00,76.00,46.00
