Player,Season,Comb,Solo,Ast
Trent Williams,2010,0.00,0.00,0.00
Trent Williams,2011,0.00,0.00,0.00
Trent Williams,2012,,,
Trent Williams,2013,0.00,0.00,0.00
Trent Williams,2014,0.00,0.00,0.00
Trent Williams,2015,0.00,0.00,0.00
Trent Williams,2016,0.00,0.00,0.00
Trent Williams,2017,0.00,0.00,0.00
Trent Williams,2018,0.00,0.00,0.00
Trent Williams,2020,0.00,0.00,0.00
Trent Williams,2021,1.00,1.00,0.00
Trent Williams,2022,0.00,0.00,0.00
Trent Williams,2023,0.00,0.00,0.00
Trent Williams,2024,0.00,0.00,0.00
