Player,Season,PD,Comb,Solo,Ast
sportsref download (25),2014,2.00,20.00,19.00,1.00
sportsref download (25),2015,6.00,57.00,48.00,9.00
sportsref download (25),2016,12.00,53.00,43.00,10.00
sportsref download (25),2017,1.00,32.00,27.00,5.00
sportsref download (25),2018,0.00,24.00,19.00,5.00
sportsref download (25),2019,8.00,65.00,51.00,14.00
sportsref download (25),2020,4.00,73.00,45.00,28.00
sportsref download (25),2021,6.00,77.00,51.00,26.00
sportsref download (25),2022,5.00,50.00,38.00,12.00
sportsref download (25),2023,3.00,50.00,33.00,17.00
sportsref download (25),2024,4.00,48.00,32.00,16.00
